OBJECTID,pkey,name,station,type,entity,functional,physical_s,geometry_s,location,lane_numbe,lane_type,opperation,comm_link,project_sp,lat,lon,published_
118,17828,8365,S2143,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 EB/T.H.610,2,Mainline,Active,L2558,2780-97,45.1429857,-93.4981341,2025-04-29
119,17827,8366,S2143,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 EB/T.H.610,3,Mainline,Active,L2558,2780-97,45.14299726,-93.49808952,2025-04-29
120,9863,4058,S965,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/T.H.47,1,Auxiliary,Active,L2458, ,45.14258212,-93.27269197,2025-04-29
121,8158,4059,S965,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/T.H.47,2,Mainline,Active,L2458, ,45.14261617,-93.2727082,2025-04-29
122,10375,4060,S965,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/T.H.47,3,Mainline,Active,L2458, ,45.14265213,-93.2726972,2025-04-29
123,4725,4062,S966,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/University Ave,1,Mainline,Active,L2456, ,45.14182108,-93.26192799,2025-04-29
124,4853,4063,S966,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/University Ave,2,Mainline,Active,L2456, ,45.14185413,-93.26190507,2025-04-29
125,9113,4103,S995,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/University Ave,1,Mainline,Active,L2456, ,45.14262649,-93.26129812,2025-04-29
126,2519,4104,S995,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/University Ave,2,Mainline,Active,L2456, ,45.14259235,-93.26131323,2025-04-29
127,6337,4180,S996,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/T.H.47,1,Mainline,Active,L2458, ,45.14285163,-93.27268899,2025-04-29
128,8575,4181,S996,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/T.H.47,2,Mainline,Active,L2458, ,45.14282157,-93.27269174,2025-04-29
129,7055,4182,S996,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/T.H.47,3,Mainline,Active,L2458, ,45.14278666,-93.27268107,2025-04-29
130,6519,4164,S998,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.47 SB/T.H.610,1,Mainline,Active,L2458, ,45.14140064,-93.27036838,2025-04-29
131,3545,4165,S998,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.47 SB/T.H.610,2,Mainline,Active,L2458, ,45.14140412,-93.27031329,2025-04-29
132,3449,4175,S999,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.47 NB/T.H.610,1,Mainline,Active,L2458, ,45.14140967,-93.26998142,2025-04-29
133,4641,4176,S999,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.47 NB/T.H.610,2,Mainline,Active,L2458, ,45.14141214,-93.2700232,2025-04-29
134,18929,4193, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/East River Rd,0,Passage,Active,L3129,"2771-117,0217-16",45.13661931,-93.29396733,2025-04-29
135,7542,7008, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/U.S.169,0,Exit,Active,L726,2771-38,45.1300465,-93.3969185,2025-04-29
136,6899,7728, ,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/Maple Grove Pkwy,0,Exit,Active,L1858,2771-37,45.137704,-93.466126,2025-04-29
137,6818,7725, ,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 WB/T.H.610,0,Merge,Active,L1856,2771-37,45.140933,-93.496552,2025-04-29
138,10620,4193, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/East River Rd,0,Passage,Active,L3129, ,45.13660282,-93.29394721,2025-04-29
139,6358,6996, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/Zachary Ln,0,Queue,Active,L730,2771-38,45.12919701,-93.42143274,2025-04-29
